id,name,type,attribute,level,atk,def,img_url
2511,Labrynth Cooclock,Fiend,DARK,1.0,0.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/2511.jpg
10000,Ten Thousand Dragon,Dragon,DARK,10.0,-1.0,-1.0,https://images.ygoprodeck.com/images/cards_cropped/10000.jpg
32864,The 13th Grave,Zombie,DARK,3.0,1200.0,900.0,https://images.ygoprodeck.com/images/cards_cropped/32864.jpg
35699,SPYRAL Sleeper,Fiend,LIGHT,8.0,2800.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/35699.jpg
39015,Assault Sentinel,Beast-Warrior,EARTH,4.0,1600.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/39015.jpg
41546,D/D Savant Thomas,Fiend,DARK,8.0,1800.0,2600.0,https://images.ygoprodeck.com/images/cards_cropped/41546.jpg
44818,Starry Knight Orbitael,Fairy,LIGHT,4.0,400.0,2100.0,https://images.ygoprodeck.com/images/cards_cropped/44818.jpg
62121,Castle of Dark Illusions,Fiend,DARK,4.0,920.0,1930.0,https://images.ygoprodeck.com/images/cards_cropped/62121.jpg
64865,Cyberse Code Magician,Cyberse,DARK,7.0,2500.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/64865.jpg
102380,Lava Golem,Fiend,FIRE,8.0,3000.0,2500.0,https://images.ygoprodeck.com/images/cards_cropped/102380.jpg
114932,Seismic Crasher,Rock,EARTH,3.0,1400.0,300.0,https://images.ygoprodeck.com/images/cards_cropped/114932.jpg
122520,Performapal Sky Pupil,Spellcaster,LIGHT,3.0,800.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/122520.jpg
123709,Laval Lancelord,Warrior,FIRE,6.0,2100.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/123709.jpg
128454,Performapal Springoose,Winged Beast,WIND,5.0,1100.0,2400.0,https://images.ygoprodeck.com/images/cards_cropped/128454.jpg
131182,Miracle Flipper,Spellcaster,LIGHT,2.0,300.0,500.0,https://images.ygoprodeck.com/images/cards_cropped/131182.jpg
132308,Rikka Princess,Plant,WATER,4.0,0.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/132308.jpg
135598,Key Mouse,Beast,EARTH,1.0,100.0,100.0,https://images.ygoprodeck.com/images/cards_cropped/135598.jpg
168917,Vylon Hept,Fairy,LIGHT,4.0,1800.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/168917.jpg
176392,Koa'ki Meiru Prototype,Rock,EARTH,4.0,1800.0,1800.0,https://images.ygoprodeck.com/images/cards_cropped/176392.jpg
209710,Flick Clown,Cyberse,DARK,4.0,1000.0,1400.0,https://images.ygoprodeck.com/images/cards_cropped/209710.jpg
218704,Fenrir,Beast,WATER,4.0,1400.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/218704.jpg
220414,Performapal Turn Trooper,Warrior,LIGHT,4.0,1200.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/220414.jpg
255998,Rapid Warrior,Warrior,WIND,4.0,1200.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/255998.jpg
263926,Bonze Alone,Fairy,EARTH,1.0,100.0,100.0,https://images.ygoprodeck.com/images/cards_cropped/263926.jpg
282886,Mermail Abyssnose,Fish,WATER,4.0,1500.0,1500.0,https://images.ygoprodeck.com/images/cards_cropped/282886.jpg
291414,Converging Wills Dragon,Dragon,LIGHT,1.0,0.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/291414.jpg
293542,T.G. Warwolf,Beast-Warrior,DARK,3.0,1200.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/293542.jpg
336369,Gusto Squirro,Thunder,WIND,2.0,0.0,1800.0,https://images.ygoprodeck.com/images/cards_cropped/336369.jpg
336601,Moon Gardna,Spellcaster,LIGHT,4.0,100.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/336601.jpg
340002,Performapal Elephammer,Beast,EARTH,6.0,2600.0,1800.0,https://images.ygoprodeck.com/images/cards_cropped/340002.jpg
342673,Dark Magician the Magician of Black Magic,Spellcaster,DARK,7.0,2500.0,2100.0,https://images.ygoprodeck.com/images/cards_cropped/342673.jpg
368382,Dinomist Brachion,Machine,WATER,5.0,2000.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/368382.jpg
373085,Firebrand Hymnist,Pyro,FIRE,3.0,800.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/373085.jpg
387282,Gagaga Sister,Spellcaster,DARK,2.0,200.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/387282.jpg
402568,Wattgiraffe,Thunder,LIGHT,4.0,1200.0,100.0,https://images.ygoprodeck.com/images/cards_cropped/402568.jpg
410904,Awakening of the Possessed - Rasenryu,Dragon,WIND,5.0,2000.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/410904.jpg
423585,Summoner Monk,Spellcaster,DARK,4.0,800.0,1600.0,https://images.ygoprodeck.com/images/cards_cropped/423585.jpg
423705,Gearfried the Iron Knight,Warrior,EARTH,4.0,1800.0,1600.0,https://images.ygoprodeck.com/images/cards_cropped/423705.jpg
425934,Goblin of Greed,Fiend,EARTH,4.0,1000.0,1800.0,https://images.ygoprodeck.com/images/cards_cropped/425934.jpg
487395,Water Spirit,Aqua,WATER,1.0,400.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/487395.jpg
525110,Cherry Inmato,Plant,DARK,2.0,700.0,400.0,https://images.ygoprodeck.com/images/cards_cropped/525110.jpg
545781,Mahaama the Fairy Dragon,Dragon,LIGHT,5.0,0.0,2500.0,https://images.ygoprodeck.com/images/cards_cropped/545781.jpg
549481,Prevent Rat,Beast,EARTH,4.0,500.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/549481.jpg
561300,Poisonous Viper,Reptile,EARTH,1.0,100.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/561300.jpg
564541,Totem Dragon,Dragon,EARTH,2.0,400.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/564541.jpg
572850,Tearlaments Scheiren,Aqua,DARK,4.0,1800.0,1300.0,https://images.ygoprodeck.com/images/cards_cropped/572850.jpg
595626,Ankuriboh,Fiend,DARK,1.0,300.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/595626.jpg
598988,Malefic Rainbow Dragon,Dragon,DARK,10.0,4000.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/598988.jpg
612115,Gladiator Beast Retiari,Aqua,WATER,3.0,1200.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/612115.jpg
613013,Veiss Shark,Fish,WATER,4.0,1800.0,1100.0,https://images.ygoprodeck.com/images/cards_cropped/613013.jpg
637216,Monster Express,Machine,EARTH,4.0,1500.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/637216.jpg
645087,Cyberse Gadget,Cyberse,LIGHT,4.0,1400.0,300.0,https://images.ygoprodeck.com/images/cards_cropped/645087.jpg
645794,Majespecter Toad - Ogama,Spellcaster,WIND,4.0,1300.0,500.0,https://images.ygoprodeck.com/images/cards_cropped/645794.jpg
652362,Alien Ammonite,Reptile,LIGHT,1.0,500.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/652362.jpg
706925,Atlantean Marksman,Sea Serpent,WATER,3.0,1400.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/706925.jpg
732302,Temple of Skulls,Zombie,DARK,4.0,900.0,1300.0,https://images.ygoprodeck.com/images/cards_cropped/732302.jpg
734741,"Rubic, Malebranche of the Burning Abyss",Fiend,DARK,3.0,100.0,2100.0,https://images.ygoprodeck.com/images/cards_cropped/734741.jpg
744887,"Utgarda, Generaider Boss of Delusion",Rock,LIGHT,9.0,2200.0,2700.0,https://images.ygoprodeck.com/images/cards_cropped/744887.jpg
756652,Doron,Warrior,EARTH,2.0,900.0,500.0,https://images.ygoprodeck.com/images/cards_cropped/756652.jpg
759393,Hiita the Fire Charmer,Spellcaster,FIRE,3.0,500.0,1500.0,https://images.ygoprodeck.com/images/cards_cropped/759393.jpg
816427,Neo Flamvell Lady,Pyro,FIRE,4.0,1600.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/816427.jpg
863795,Galaxy Summoner,Spellcaster,LIGHT,4.0,1600.0,1400.0,https://images.ygoprodeck.com/images/cards_cropped/863795.jpg
875572,"Crowley, the Gifted Magistus",Spellcaster,DARK,4.0,1800.0,1000.0,https://images.ygoprodeck.com/images/cards_cropped/875572.jpg
876330,Dragunity Arma Mystletainn,Dragon,WIND,6.0,2100.0,1500.0,https://images.ygoprodeck.com/images/cards_cropped/876330.jpg
899287,Glife the Phantom Bird,Winged Beast,WIND,4.0,1500.0,1500.0,https://images.ygoprodeck.com/images/cards_cropped/899287.jpg
923596,Geargiarmor,Machine,EARTH,4.0,1100.0,1900.0,https://images.ygoprodeck.com/images/cards_cropped/923596.jpg
938717,Boot-Up Corporal - Command Dynamo,Machine,EARTH,4.0,0.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/938717.jpg
980973,Armed Dragon LV3,Dragon,WIND,3.0,1200.0,900.0,https://images.ygoprodeck.com/images/cards_cropped/980973.jpg
984114,Expressroid,Machine,EARTH,4.0,400.0,1600.0,https://images.ygoprodeck.com/images/cards_cropped/984114.jpg
1003028,Doggy Diver,Warrior,DARK,4.0,1000.0,1000.0,https://images.ygoprodeck.com/images/cards_cropped/1003028.jpg
1006081,Junk Changer,Warrior,EARTH,3.0,1500.0,900.0,https://images.ygoprodeck.com/images/cards_cropped/1006081.jpg
1035143,Darkuriboh,Fiend,DARK,1.0,300.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/1035143.jpg
1045143,Geargiano Mk-II,Machine,EARTH,3.0,1000.0,500.0,https://images.ygoprodeck.com/images/cards_cropped/1045143.jpg
1047075,Fighting Flame Swordsman,Warrior,FIRE,4.0,1800.0,1600.0,https://images.ygoprodeck.com/images/cards_cropped/1047075.jpg
1050186,Satellarknight Unukalhai,Warrior,LIGHT,4.0,1800.0,1000.0,https://images.ygoprodeck.com/images/cards_cropped/1050186.jpg
1102515,Dark Mimic LV3,Fiend,DARK,3.0,1000.0,1000.0,https://images.ygoprodeck.com/images/cards_cropped/1102515.jpg
1142880,Cyber Dragon Nachster,Machine,LIGHT,1.0,200.0,200.0,https://images.ygoprodeck.com/images/cards_cropped/1142880.jpg
1151281,Subterror Behemoth Phospheroglacier,Aqua,EARTH,8.0,2600.0,2500.0,https://images.ygoprodeck.com/images/cards_cropped/1151281.jpg
1164211,Shield of the Millennium Dynasty,Warrior,EARTH,5.0,0.0,3000.0,https://images.ygoprodeck.com/images/cards_cropped/1164211.jpg
1184620,Kojikocy,Warrior,EARTH,4.0,1500.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/1184620.jpg
1186447,"Horoscope Sorcerer, the Stargazer Magician",Spellcaster,DARK,5.0,1200.0,2400.0,https://images.ygoprodeck.com/images/cards_cropped/1186447.jpg
1225009,Arianna the Labrynth Servant,Fiend,DARK,4.0,1600.0,2100.0,https://images.ygoprodeck.com/images/cards_cropped/1225009.jpg
1274455,Kozmo Soartroopers,Psychic,DARK,3.0,1000.0,1000.0,https://images.ygoprodeck.com/images/cards_cropped/1274455.jpg
1278431,Ancient Gear Frame,Machine,EARTH,4.0,1600.0,500.0,https://images.ygoprodeck.com/images/cards_cropped/1278431.jpg
1281505,Vylon Tetra,Machine,LIGHT,2.0,900.0,900.0,https://images.ygoprodeck.com/images/cards_cropped/1281505.jpg
1287123,Prime Material Falcon,Winged Beast,WIND,5.0,2200.0,800.0,https://images.ygoprodeck.com/images/cards_cropped/1287123.jpg
1295442,Icejade Creation Aegirocassis,Aqua,WATER,7.0,2000.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/1295442.jpg
1315120,T.G. Striker,Warrior,EARTH,2.0,800.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/1315120.jpg
1347977,Mysterious Guard,Spellcaster,EARTH,3.0,800.0,1200.0,https://images.ygoprodeck.com/images/cards_cropped/1347977.jpg
1357146,Ronintoadin,Aqua,WATER,2.0,100.0,2000.0,https://images.ygoprodeck.com/images/cards_cropped/1357146.jpg
1362589,Photon Crusher,Warrior,LIGHT,4.0,2000.0,0.0,https://images.ygoprodeck.com/images/cards_cropped/1362589.jpg
1371589,Vampiric Koala,Beast,EARTH,4.0,1800.0,1500.0,https://images.ygoprodeck.com/images/cards_cropped/1371589.jpg
1409474,Hazy Flame Sphynx,Beast-Warrior,FIRE,6.0,1900.0,1900.0,https://images.ygoprodeck.com/images/cards_cropped/1409474.jpg
1410324,Trickstar Hoody,Fairy,LIGHT,2.0,600.0,1800.0,https://images.ygoprodeck.com/images/cards_cropped/1410324.jpg
